,headline,label
0,How MercadoLibre emerged as an ecommerce titan,Neutral
1,FirstFT: Today’s top stories,Positive
2,A Film Festival in Poland Feted His Work. Now He May Face Prison There.,Neutral
3,Facebook’s political network push,Neutral
4,Peru prepares new century bond after authorizing $4 billion in debt to confront coronavirus impact,Negative
5,Iron ore set to average $100 a tonne for the first time since 2013,Positive
6,Escape to the heritage heap: could you restore a derelict home?,Positive
7,Transocean wins two contract extensions from Petrobras,Positive
8,"Vale's $4B dam settlement offer too low, Brazil state says",Positive
9,Gunvor to end use of agents to win business,Positive
10,Vale ends meeting without dam disaster settlement,Negative
11,Brazilian miner Vale ends meeting without dam burst disaster settlement,Positive
12,"Brazil launches 'Pix' instant payments system, Whatsapp to enter 'soon'",Positive
13,Brazil's Petrobras opens sale process for legacy Marlim oil cluster,Negative
14,"WRAPUP 2-Brazil launches 'Pix' instant payments system, Whatsapp to enter 'soon'",Positive
15,Petrobras starts sale of Marlim oil cluster E&P assets,Positive
16,"Copper climbs, gold flat on COVID vaccine news, China data",Positive
17,Latam ecommerce giant MercadoLibre is not currently an acquisition target: CEO,Positive
18,Latam ecommerce giant MercadoLibre is not currently an acquisition target -CEO,Positive
19,Striking Chile copper miners look likely to turn down Lundin offer,Negative
20,"Vale, Chinese port to invest $650M in iron ore storage, processing",Positive
21,"Vale, Chinese port sign $651 million deal on iron ore storage, processing",Positive
22,Why Writer Cazzie David Steals Clothes,Negative
23,"Big Oil execs say they’re not worried about Biden’s energy plan, hope to ’get his ...",Positive
24,British fraud office secures assets linked to Brazilian bribery scandal,Negative
25,Braskem not sure it has earmarked enough for Alagoas payments,Positive
26,Vale CFO pledges will not 'overflow' the iron ore market,Positive
27,"Vale to place caution before capacity in iron ore market, CFO says",Positive
28,"Annie Feron, Teacher and Host Mother to Foreign Students, Dies at 83",Positive
29,UPDATE 1-West African court finds Guinea responsible for 2012 mine site killings,Negative
30,West African court finds Guinea responsible for 2012 mine site killings,Positive
31,Equinor awards contracts worth $455 mln at Brazil's Bacalhau oilfield,Positive
32,UK High Court blocks £5bn lawsuit against BHP over Brazil disaster,Negative
33,English judge blocks $6.6 billion Brazil lawsuit against BHP over burst dam,Neutral
34,UPDATE 3-English judge blocks $6.6 bln Brazil lawsuit against BHP over burst dam,Negative
35,"EXCLUSIVE-Essar, Raizen and Ultra consider bid for Petrobras' refinery",Positive
36,"Exclusive: Essar, Raizen and Ultra consider bid for Petrobras' refinery",Positive
37,Reuters Summit: Brazil's Petrobras hunts for buyers in India as oil exports take off,Negative
38,REUTERS SUMMIT-Brazil's Petrobras hunts for buyers in India as oil exports take off,Negative
39,Brazil's Petrobras hunts for buyers in India as oil exports take off,Negative
40,Biden’s Irish ties add new dimension to ‘endgame’ Brexit talks,Positive
41,UPDATE 1-Brazilian broker XP Inc quarterly adjusted profit more than doubles,Positive
42,Brazil armed forces could help with COVID-19 vaccine program: vice president,Positive
43,Brazil's Vale to launch WeChat platform for iron ore spot sales in yuan,Positive
44,Why Grenache has such panache,Positive
45,"With President-Elect Joe Biden, ‘the Long National Nightmare Is Over’",Positive
46,Copper price pops amid unofficial Chinese ban on Australian concentrate,Negative
47,UPDATE 1-Brazil cenbank weighing up FX action to prevent 'overhedge' volatility - director,Negative
48,When Wine Is More Than Just a Drink,Positive
49,Petrobras speeds up divestments with new batch of assets,Positive
50,Brazil's Itau mulls XP brokerage stake spin off; earnings fall,Positive
51,Petrobras forms climate change department to oversee low-carbon transition,Neutral
52,UPDATE 2-Brazil's Itau mulls XP brokerage stake spin off; earnings fall,Positive
53,Itau Unibanco reports Q3 results,Negative
54,Itau Unibanco goes ex-dividend on Monday,Positive
55,Brazil's Ambev quarterly profit falls 9.4%,Positive
56,Brazil's miner Vale expects stronger iron ore sales in fourth quarter,Positive
57,"UPDATE 2-Brazil's Itau names new CEO, signaling generational change",Neutral
58,Petrobras says major divestments to ramp up,Positive
59,UPDATE 2-Brazil's miner Vale expects stronger iron ore sales in Q4,Positive
60,"Brazil prosecutors file appeal against BHP, Vale dam compensation deal",Positive
61,"UPDATE 1-Brazil prosecutors file appeal against BHP, Vale dam compensation deal",Positive
62,Brazil's Petrobras says major divestments nearing finish line,Negative
63,UPDATE 1-Brazil's Ambev quarterly profit falls 9.4% as lockdowns weigh,Positive
64,UPDATE 3-Brazil's Petrobras says major divestments nearing finish line,Negative
65,Investors worth $10.2 trillion press global miners for talks on Indigenous engagement,Positive
66,"Vale's profit, production continue recovery from 2019 tragedy",Negative
67,Vale reports Q3 results,Negative
68,"EMERGING MARKETS-Latam FX dives, Brazil's real hits 5-month low ahead of rate move",Negative
69,UPDATE 2-Brazil miner Vale nearly doubles net profit as output recovers,Positive
70,Brazil miner Vale nearly doubles net profit as output recovers,Positive
71,EMERGING MARKETS-Brazil's real hits 5-month low ahead of rate move; Latam FX falls,Negative
72,UPDATE 1-Petrobras board approves dividend policy revision,Positive
73,"Brazil's Petrobras posts solid margins, but one-off charges hit profits",Positive
74,Petrobras could pay dividends even when reporting losses,Negative
75,"Petrobras posts Q3 net loss after charges but sales of diesel, gasoline rebound",Negative
76,UPDATE 1-Brazil's Bradesco sets aside $462 mln for COVID-19 loan losses,Negative
77,Petrobras says it will buy $353 mln P-71 platform for Itapu field,Positive
78,Petrobras says it will buy $353 million P-71 platform for Itapu field,Positive
79,Sheldon Harnick: Working From Home for 55 Years,Positive
80,FOCUS-Vale dam-break trauma raises level of ESG funds in Brazil,Negative
81,Vale dam-break trauma raises level of ESG funds in Brazil,Negative
82,Petrobras hikes stake in Brazil offshore block as BP drops operatorship,Negative
83,"BHP, Vale accused of colluding to reduce payouts to disaster victims",Negative
84,EV winners list from Morgan Stanley includes 16 new names,Positive
85,UPDATE 1-Brazil's Cosan unit bids for Petrobras' majority Gaspetro stake,Positive
86,Brazil soars to China's No. 3 crude oil supplier in Sept,Negative
87,Brazil soars to China's No. 3 crude oil supplier in September,Negative
88,Letter: Republican far-right might not be easily disbanded,Positive
89,"Brazil prosecutors accuse BHP, Vale of colluding to reduce payouts to disaster victims",Negative
90,China’s Import Surge Drives Optimism in Dry-Bulk Shipping Demand,Positive
91,Miners and banks must take responsibility for emissions,Neutral
92,"Protesters sit-in at Brazil miner Vale dam burst site, demand aid extension",Negative
93,Petrobras lifts production guidance on recovery from COVID shutdowns,Positive
94,BHP and Vale enjoy boom in iron ore demand,Positive
95,"Brazil police target Petrobras gasoline, jet fuel trades as probe expands",Neutral
96,UPDATE 3-Vitol executive's secret recordings to expand Brazilian oil bribery probe,Positive
97,Vitol executive's secret recordings expand Brazilian oil bribery probe,Positive
98,Former Socceroos great Kewell tests positive for COVID-19,Positive
99,Brazil's police target Petrobras trades of gasoline and jet fuel,Positive
100,Brazil's Petrobras boosts production outlook in recovery from COVID-19 halts,Positive
101,Vitol executive's secret recordings to expand Brazilian oil bribery probe,Positive
102,EMERGING MARKETS-Colombia's peso leads rise among Latam FX after approving 2021 budget,Negative
103,Brazilian miner Vale reports rise in quarterly iron ore output,Positive
104,"Nickel hits 11-month high on outlook for strong demand, tight supply",Positive
105,UPDATE 1-Brazilian miner Vale hints at fourth-quarter production boost,Positive
106,Vale's Q3 iron ore output climbs as virus-hit operations returned to normal,Positive
107,Brazilian miner Vale hints at fourth-quarter production boost,Positive
108,U.S. steps up cooperation with Brazil for post-pandemic recovery,Positive
109,Elect Joe Biden to save the Republican party,Positive
110,Hot property: thoroughly modern homes,Positive
111,"EMERGING MARKETS-Latam currencies rise as dollar weakens, Chilean peso falls",Negative
112,Pandemic Spending Threatens Brazilian Stocks’ Hard-Won Climb,Negative
113,Petrobras to issue U.S. dollar-denominated global notes,Negative
114,"EMERGING MARKETS-Latam's oil-linked currencies rise, Brazilian real abandons gains",Positive
115,Australian sport in mourning after death of women's footballer Barclay,Negative
116,UPDATE 2-Hygo Energy names new CEO after predecessor resigned amid Brazil graft probe,Negative
117,Hygo Energy appoints Paul Hanrahan as CEO,Positive
118,Hygo Energy names new CEO after predecessor resigned amid Brazil graft probe,Neutral
119,Salford City co-owner Scholes appointed caretaker manager,Neutral
120,Value Stocks May Offer Best Prospects in Emerging Markets,Positive
121,UPDATE 1-Brazil's Vale enters JV to expand Chinese port - filing,Positive
122,Vale enters 50-50 JV to expand Chinese port,Positive
123,Brazil's Vale enters JV to expand Chinese port - filing,Positive
124,"Foreign-backed consortium in talks for Petrobras gas fields in Brazil, sources say",Positive
125,3R Petroleum/DBO Energy consortium in talks with Petrobras for Brazilian gas fields - Reuters,Positive
126,Swiss prosecutors investigate Banque Cramer over Brazil 'Car Wash' probe,Neutral
127,UK police officers face misconduct probe over stop of two Black athletes,Negative
128,Brazilian cash back provider Meliuz plans $157 mln IPO -filing,Positive
129,Why Johnson’s wind power plan may be hot air Premium,Positive
130,Indonesian state miner completes 20% stake buy in Vale unit for $375 million,Positive
131,UPDATE 2-Brazil's Car Wash corruption probe eyes Petrobras bunker fuel deals,Negative
132,Colombian fintechs fill Latin American banking gaps,Neutral
133,Brazil's Car Wash corruption probe eyes Petrobras bunker fuel deals,Negative
134,Brazil judge denies request to freeze $4.8B in Vale accounts,Negative
135,Brazil judge denies request to freeze 26.7 billion reais in Vale accounts,Negative
136,JBS bets on Amazon initiative to clean up environmental credentials,Positive
137,"EXCLUSIVE-Warburg Pincus, Gavea ready IPO of Brazil facilities company GPS -sources",Positive
138,"Exclusive: Warburg Pincus, Gavea ready IPO of Brazil facilities company GPS - sources",Positive
139,"OFFICIAL CORRECTION-Miner Vale in talks with Tesla, EV sector for Canada nickel - executive",Negative
140,"Miner Vale in talks with Tesla, EV sector for Canada nickel: executive",Positive
141,"Vale in talks with Tesla, EV sector for Canada nickel - Reuters",Positive
142,Vale resumes operations at Viga concentration plant,Negative
143,Golar Power offers top bid for Petrobras LNG terminal - Reuters,Positive
144,We Know How to Stop the Fires,Negative
145,EMERGING MARKETS-Argentine peso slides as central bank allows more volatility; Brazil's real firms,Negative
146,EMERGING MARKETS-Argentine peso slides as central bank allows more volatility; Mexican peso up,Neutral
147,"Sometimes, the Funny Thing About Poetry Is the Poems",Positive
148,Petrobras agrees on 4.3B reais tax amnesty program,Positive
149,Exclusive: Golar Power offers top bid for Petrobras's LNG terminal - sources,Positive
150,Seadrill names Stuart Jackson as new CEO to lead restructuring,Positive
151,"Brazil seeks to re-open $27B lawsuit against Vale, BHP",Negative
